Chart,Practice,Code Smells,Total Lines,Ratio
cert-manager-csi-driver,count_nonrange_versions,0,569,0.00%
cert-manager-csi-driver,count_tabs,0,569,0.00%
cert-manager-csi-driver,has_helper_file,0,569,0.00%
cert-manager-csi-driver,include_indent_required,14,569,2.46%
cert-manager-csi-driver,chart_name_format,0,569,0.00%
cert-manager-csi-driver,namespaced_template_definitions,0,569,0.00%
cert-manager-csi-driver-spiffe,configmap_sensitive_values,0,862,0.00%
cert-manager-csi-driver-spiffe,standard_labels,0,862,0.00%
cert-manager-csi-driver-spiffe,count_embedded_objects,4,862,0.46%
cert-manager-csi-driver-spiffe,count_http_only_repositories,0,862,0.00%
cert-manager-csi-driver-spiffe,count_nonrange_versions,0,862,0.00%
cert-manager-csi-driver-spiffe,count_tabs,0,862,0.00%
cert-manager-csi-driver-spiffe,has_helper_file,0,862,0.00%
cert-manager-csi-driver-spiffe,include_indent_required,36,862,4.18%
cert-manager-csi-driver-spiffe,chart_name_format,0,862,0.00%
cert-manager-csi-driver-spiffe,namespaced_template_definitions,0,862,0.00%
cert-manager-istio-csr,configmap_sensitive_values,0,966,0.00%
cert-manager-istio-csr,standard_labels,1,966,0.10%
cert-manager-istio-csr,count_embedded_objects,6,966,0.62%
cert-manager-istio-csr,count_http_only_repositories,0,966,0.00%
cert-manager-istio-csr,count_nonrange_versions,0,966,0.00%
cert-manager-istio-csr,count_tabs,0,966,0.00%
cert-manager-istio-csr,has_helper_file,0,966,0.00%
cert-manager-istio-csr,include_indent_required,40,966,4.14%
cert-manager-istio-csr,chart_name_format,0,966,0.00%
cert-manager-istio-csr,namespaced_template_definitions,0,966,0.00%
cilium,configmap_sensitive_values,0,16072,0.00%
cilium,standard_labels,136,16072,0.85%
cilium,count_embedded_objects,76,16072,0.47%
cilium,count_http_only_repositories,0,16072,0.00%
cilium,count_nonrange_versions,0,16072,0.00%
cilium,count_tabs,0,16072,0.00%
cilium,has_helper_file,1,16072,0.01%
cilium,include_indent_required,218,16072,1.36%
cilium,chart_name_format,0,16072,0.00%
cilium,namespaced_template_definitions,10,16072,0.06%
dns-operator,configmap_sensitive_values,0,1053,0.00%
dns-operator,standard_labels,1,1053,0.09%
dns-operator,count_embedded_objects,0,1053,0.00%
dns-operator,count_http_only_repositories,0,1053,0.00%
dns-operator,count_nonrange_versions,0,1053,0.00%
dns-operator,count_tabs,0,1053,0.00%
dns-operator,has_helper_file,1,1053,0.09%
dns-operator,include_indent_required,0,1053,0.00%
dns-operator,chart_name_format,0,1053,0.00%
dns-operator,namespaced_template_definitions,0,1053,0.00%
gadget,configmap_sensitive_values,0,648,0.00%
gadget,standard_labels,0,648,0.00%
gadget,count_embedded_objects,4,648,0.62%
gadget,count_http_only_repositories,0,648,0.00%
gadget,count_nonrange_versions,0,648,0.00%
gadget,count_tabs,0,648,0.00%
gadget,has_helper_file,0,648,0.00%
gadget,include_indent_required,32,648,4.94%
gadget,chart_name_format,0,648,0.00%
gadget,namespaced_template_definitions,0,648,0.00%
gateway,configmap_sensitive_values,0,975,0.00%
gateway,standard_labels,16,975,1.64%
gateway,count_embedded_objects,1,975,0.10%
gateway,count_http_only_repositories,0,975,0.00%
gateway,count_nonrange_versions,0,975,0.00%
gateway,count_tabs,0,975,0.00%
gateway,has_helper_file,0,975,0.00%
gateway,include_indent_required,23,975,2.36%
gateway,chart_name_format,0,975,0.00%
gateway,namespaced_template_definitions,0,975,0.00%
google-cas-issuer,configmap_sensitive_values,0,759,0.00%
google-cas-issuer,standard_labels,0,759,0.00%
google-cas-issuer,count_embedded_objects,4,759,0.53%
google-cas-issuer,count_http_only_repositories,0,759,0.00%
google-cas-issuer,count_nonrange_versions,0,759,0.00%
google-cas-issuer,count_tabs,0,759,0.00%
google-cas-issuer,has_helper_file,0,759,0.00%
google-cas-issuer,include_indent_required,19,759,2.50%
google-cas-issuer,chart_name_format,0,759,0.00%
google-cas-issuer,namespaced_template_definitions,0,759,0.00%
harbor,configmap_sensitive_values,0,7641,0.00%
harbor,standard_labels,19,7641,0.25%
harbor,count_embedded_objects,19,7641,0.25%
harbor,count_http_only_repositories,0,7641,0.00%
harbor,count_nonrange_versions,0,7641,0.00%
harbor,count_tabs,0,7641,0.00%
harbor,has_helper_file,0,7641,0.00%
harbor,include_indent_required,20,7641,0.26%
harbor,chart_name_format,0,7641,0.00%
harbor,namespaced_template_definitions,0,7641,0.00%
headlamp,configmap_sensitive_values,0,3997,0.00%
headlamp,standard_labels,20,3997,0.50%
headlamp,count_embedded_objects,12,3997,0.30%
headlamp,count_http_only_repositories,0,3997,0.00%
headlamp,count_nonrange_versions,0,3997,0.00%
headlamp,count_tabs,0,3997,0.00%
headlamp,has_helper_file,0,3997,0.00%
headlamp,include_indent_required,20,3997,0.50%
headlamp,chart_name_format,0,3997,0.00%
headlamp,namespaced_template_definitions,0,3997,0.00%
istio-cni,configmap_sensitive_values,0,1098,0.00%
istio-cni,standard_labels,17,1098,1.55%
istio-cni,count_embedded_objects,1,1098,0.09%
istio-cni,count_http_only_repositories,0,1098,0.00%
istio-cni,count_nonrange_versions,0,1098,0.00%
istio-cni,count_tabs,0,1098,0.00%
istio-cni,has_helper_file,1,1098,0.09%
istio-cni,include_indent_required,0,1098,0.00%
istio-cni,chart_name_format,0,1098,0.00%
istio-cni,namespaced_template_definitions,0,1098,0.00%
istiod,configmap_sensitive_values,0,5100,0.00%
istiod,standard_labels,24,5100,0.47%
istiod,count_embedded_objects,1,5100,0.02%
